duoarea,area-name,product,product-name,process,process-name,series,series-description,value,year,month
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.9742857142857142,2024,4
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",2.0169047619047618,2024,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.67,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.618,2024,3
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",1.9383333333333332,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.614,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.627,2024,3
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.923095238095238,2024,3
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.9059523809523808,2024,3
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.9528571428571426,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.626,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.724,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.702,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.629,2024,3
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.950238095238095,2024,3
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",1.9378571428571427,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.672,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.744,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.728,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.659,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.713,2024,3
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.909047619047619,2024,3
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.9245238095238093,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.69,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.642,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.693,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.603,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.646,2024,3
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.8928571428571428,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.56,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.678,2024,3
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",1.8828571428571428,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.605,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.651,2024,3
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.8723809523809523,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.616,2024,3
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.860238095238095,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.641,2024,3
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",1.856190476190476,2024,3
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.871190476190476,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.546,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.514,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.651,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.543,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.599,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.561,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.551,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.476,2024,3
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.842857142857143,2024,3
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.8290476190476188,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.711,2024,3
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.8409523809523807,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.571,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.607,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.53,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.368,2024,3
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.8723809523809523,2024,3
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.8257142857142858,2024,3
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",1.8557142857142856,2024,3
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.664,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.564,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.578,2024,3
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.294,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.72,2024,2
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.811190476190476,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.601,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.556,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.671,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.529,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.521,2024,2
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.8523809523809522,2024,2
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.8235714285714286,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.491,2024,2
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",1.8354761904761905,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.572,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.851,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.706,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.581,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.643,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.788,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.347,2024,2
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.8507142857142858,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.536,2024,2
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.8342857142857143,2024,2
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.8254761904761905,2024,2
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",1.8419047619047617,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.671,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.497,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.463,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.754,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.493,2024,2
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.7709523809523808,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.828,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.274,2024,2
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.7761904761904759,2024,2
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.775,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.608,2024,2
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",1.7766666666666666,2024,2
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.7883333333333333,2024,2
YCUOK,NA,EPC0,Crude Oil,PE4,Future Contract 4,RCLC4,"Cushing, OK Crude Oil Future Contract 4 (Dollars per Barrel)",1.7838095238095237,2024,2
YCUOK,NA,EPC0,Crude Oil,PE2,Future Contract 2,RCLC2,"Cushing, OK Crude Oil Future Contract 2 (Dollars per Barrel)",1.7909523809523809,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.658,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.446,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.724,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.32,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.597,2024,2
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.793095238095238,2024,2
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.764,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.456,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.203,2024,2
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.27,2024,1
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.8016666666666665,2024,1
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.478,2024,1
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.741,2024,1
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.478,2024,1
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",1.8095238095238093,2024,1
